,bus_score,date,gmap_score,hystreet_score,index,nationalExpress_score,national_score,regional_score,suburban_score,zug_score
153,,2020-03-20,,0.5662213511210797,09564,,,,,
154,,2020-03-20,,,09575,,0.5,0.9767441860465116,,0.9730769230769231
155,,2020-03-20,,,09577,0.6666666666666667,0.7142857142857143,0.9945504087193461,,0.9842105263157894
156,1.0,2020-03-20,,,09661,0.7959183673469388,1.0,0.9516129032258065,,0.9266666666666666
157,,2020-03-20,,,09662,,,1.0,,1.0
158,,2020-03-20,,0.5866069600550168,09663,,,,,
159,1.0,2020-03-20,,,09677,,,0.9909706546275395,,0.9922178988326849
160,,2020-03-20,,0.6708932446864142,09761,0.8709677419354839,0.9705882352941176,0.8581699346405229,,0.8610086100861009
161,,2020-03-20,,,09762,,0.5,0.9752066115702479,,0.967479674796748
162,,2020-03-20,,,09763,,0.6666666666666667,0.8695652173913043,,0.8658536585365854
163,,2020-03-20,,,09774,1.0,1.0,0.9608938547486033,,0.9656862745098039
164,,2020-03-20,,,09777,,0.5,0.8694362017804154,,0.8672566371681416
165,,2020-03-20,,,09778,,,1.0,,1.0
166,,2020-03-20,,,09779,0.888888888888889,0.8333333333333333,0.98046875,,0.9714285714285714
167,,2020-03-20,,0.5811763777936076,10041,0.11111111111111116,1.0,0.9897585954645208,,0.9840348330914369
168,,2020-03-20,,,10044,,,0.9846743295019157,,0.9846743295019157
169,,2020-03-20,,,10045,1.0,1.0,0.9986666666666667,1.0,0.9987029831387808
170,,2020-03-20,,,10046,,,0.9884526558891455,,0.9884526558891455
171,,2020-03-20,,0.14213214392171405,11000,,,,,
172,,2020-03-20,,0.6315306684061398,13003,,,,,
173,,2020-03-20,,0.5294241301483684,14612,,,,,
174,,2020-03-20,,0.5731420819464907,14713,,,,,
175,,2020-03-20,,0.6494537272132942,16051,,,,,
0,,2020-03-21,,0.419823116316601,01001,,1.0,0.9230769230769231,,0.9347826086956522
1,,2020-03-21,,,01002,0.8333333333333334,,0.9915966386554622,,0.9889807162534435
2,,2020-03-21,,0.3642763947971301,01003,,,,,
3,,2020-03-21,,,01051,,0.0,0.782258064516129,,0.7461538461538462
4,,2020-03-21,,,01053,1.0,0.0,1.0,0.9642857142857143,0.983739837398374
5,,2020-03-21,,,01054,,0.0,1.0,,0.954983922829582
6,,2020-03-21,,,01056,,,0.9924385633270322,0.9803370786516854,0.9854955680902499
7,,2020-03-21,,,01057,,,1.0,,1.0
8,,2020-03-21,,,01062,,,0.9874213836477987,0.9662447257383966,0.9783783783783784
9,,2020-03-21,,0.2314358874863643,02000,0.8838709677419355,0.7377049180327869,0.9951219512195122,0.9936406067677946,0.9919482073880638
10,,2020-03-21,,0.47637357387349766,03101,0.9333333333333333,0.9032258064516129,0.9803921568627451,,0.9660377358490566
11,,2020-03-21,,,03151,,,1.0,,1.0
12,,2020-03-21,,0.41666519035555477,03152,0.9108910891089109,0.7692307692307693,0.9641255605381166,,0.9406528189910979
13,,2020-03-21,,,03153,,,0.9555555555555556,,0.9555555555555556
14,,2020-03-21,,,03154,,0.8666666666666667,1.0,,0.9743589743589743
15,,2020-03-21,,,03155,,,0.9226666666666666,,0.9226666666666666
16,,2020-03-21,,,03156,,,0.9214285714285714,,0.9214285714285714
17,,2020-03-21,,0.33194305208713903,03241,0.9122807017543859,0.8867924528301887,1.0,0.8959767072525145,0.9121563573883161
18,,2020-03-21,,,03252,,,0.9193548387096774,0.970873786407767,0.958955223880597
19,,2020-03-21,,0.0,03254,0.9285714285714286,1.0,0.9622641509433962,0.9140625,0.9520348837209303
20,,2020-03-21,,,03257,,,0.986013986013986,0.9696969696969697,0.9765395894428153
21,,2020-03-21,,0.6330490048503095,03351,0.9333333333333333,0.0,1.0,0.5897435897435898,0.8275862068965517
22,,2020-03-21,,,03353,,,1.0,1.0,1.0
23,,2020-03-21,,,03358,,,1.0,,1.0
24,,2020-03-21,,,03359,,,0.9917355371900827,1.0,0.9971098265895953
25,,2020-03-21,,,03360,0.9333333333333333,0.0,0.9823008849557522,,0.9727626459143969
26,,2020-03-21,,,03401,1.0,0.8888888888888888,0.962962962962963,1.0,0.9731543624161074
27,,2020-03-21,,0.3731704061770271,03403,,,,,
28,,2020-03-21,,0.4112877146600362,03404,,,,,
